City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Doha,QA,76.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
348,Cayenne,GF,80.1,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
350,Wonthaggi,AU,82.2,clear sky,-38.6044,145.5913,Wonthaggi Caravans & Trailers
351,Trairi,BR,75.45,scattered clouds,-3.2778,-39.2689,janelas do mar
360,Akyab,MM,77.83,clear sky,20.15,92.9,Hotel Memory
364,Puerto Colombia,CO,78.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
371,Lantawan,PH,85.69,overcast clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
379,Puri,IN,79.32,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
381,Eydhafushi,MV,81.64,few clouds,5.1033,73.0708,Soneva Fushi
384,Sur,OM,79.72,clear sky,22.5667,59.5289,Sur Plaza Hotel
387,Yarada,IN,84.52,haze,17.65,83.2667,Yarada Jungle Beach Resorts
391,Palauig,PH,83.79,few clouds,15.435,119.9045,Alperi Botique Resort
398,Muisne,EC,75.88,overcast clouds,0.6,-80.0333,Quinta Samay
401,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
404,Bodden Town,KY,75.0,few clouds,19.2833,-81.25,Will T Place
414,Carutapera,BR,75.11,overcast clouds,-1.195,-46.02,Lidera
417,Davila,PH,87.78,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
422,Nosy Varika,MG,76.01,heavy intensity rain,-20.5833,48.5333,Hotel Volazara
425,Amahai,ID,84.65,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
426,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
437,Saint-Pierre,RE,89.28,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
439,Anito,PH,81.23,scattered clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
446,Cumbum,IN,87.62,clear sky,9.7333,77.3,Hotel Sagar Rooms
448,Namatanai,PG,83.32,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
460,Gizo,SB,85.12,broken clouds,-8.103,156.8419,Imagination Island
477,Kloulklubed,PW,84.7,few clouds,7.0419,134.2556,Storyboard Beach Resort
485,Galle,LK,83.08,scattered clouds,6.0367,80.217,Amangalla
487,Charters Towers,AU,88.36,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
489,Watsa,CD,75.69,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
492,Labuan,MY,87.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
501,Ambilobe,MG,79.54,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
510,Port Lincoln,AU,75.04,clear sky,-34.7333,135.8667,Port Lincoln Hotel
512,Xuddur,SO,83.75,clear sky,4.1213,43.8894,Banjanay Hotel
514,Haapiti,PF,78.53,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
515,Sabang,ID,82.0,overcast clouds,5.8933,95.3214,Hotel Citra
516,Luganville,VU,79.9,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
525,Labuhan,ID,82.4,overcast clouds,-6.8844,112.2051,DoubleFAG
527,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
530,Honiara,SB,83.44,broken clouds,-9.4333,159.95,Heritage Park Hotel
535,Poso,ID,84.22,light rain,-1.3959,120.7524,Hotel 77 Poso
542,San Pedro,PH,87.03,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
548,Banda Aceh,ID,86.88,broken clouds,5.5577,95.3222,Sulthan Hotel International
552,Kroya,ID,80.67,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
556,Vangaindrano,MG,77.4,heavy intensity rain,-23.35,47.6,Hotel Fanilo
566,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
578,Sambava,MG,83.34,overcast clouds,-14.2667,50.1667,Melrose
587,Nampula,MZ,80.55,broken clouds,-15.1165,39.2666,BUTIK Hotel
589,Saint-Joseph,RE,88.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
593,Montepuez,MZ,77.16,light rain,-13.1256,38.9997,PembaAparthotel
606,Castlemaine,AU,81.28,broken clouds,-37.0667,144.2167,Fig Cafe & Accommodation
610,Bandarbeyla,SO,78.96,clear sky,9.4942,50.8122,JABIR HOTEL
618,Quatre Cocos,MU,84.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
620,Ocos,GT,77.0,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
626,Le Port,RE,89.6,moderate rain,-20.9373,55.2919,KORBEY D'OR OUEST
639,Salinopolis,BR,77.43,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
641,Eyl,SO,82.11,clear sky,7.9803,49.8164,Amiin Hotel
645,Aracati,BR,76.53,broken clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
650,Garissa,KE,84.4,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
656,Tagbac,PH,84.52,scattered clouds,7.089,125.1567,Sitio Maupot Family Resort
662,Kirakira,SB,83.19,overcast clouds,-10.4544,161.9205,SanBiz Lodge
675,Mogadishu,SO,84.07,few clouds,2.0371,45.3438,Hotel Juba
683,Port Blair,IN,86.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
686,Broken Hill,AU,82.11,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
696,Mildura,AU,85.06,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
702,Katherine,AU,84.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
703,Santa Marta,CO,79.9,few clouds,11.2408,-74.199,Casa de Isabella
706,Carupano,VE,75.29,broken clouds,10.6678,-63.2585,Hotel La dorada
