City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Morondava,MG,-20.2833,44.2833,86.25,58,100,6.24,overcast clouds
80,Linkoping,SE,58.4109,15.6216,36.01,88,100,10.36,overcast clouds
81,Khash,IR,28.2211,61.2158,64.87,10,0,7.34,clear sky
82,Atuona,PF,-9.8,-139.0333,78.67,77,12,18.28,few clouds
83,Mataura,NZ,-46.1927,168.8643,55.47,58,52,6.13,broken clouds
84,Faanui,PF,-16.4833,-151.75,80.94,73,82,14.65,light rain
85,Jamestown,US,42.097,-79.2353,13.71,51,100,10.36,overcast clouds
86,Mackenzie,CA,55.2999,-123.1698,32.34,84,41,5.82,scattered clouds
87,Nioro,GM,13.35,-15.75,70.29,12,0,5.75,clear sky
88,Roma,US,43.2128,-75.4557,13.42,85,100,4.61,overcast clouds
89,Sinnamary,GF,5.3833,-52.95,75.83,89,47,8.84,scattered clouds
90,Hilo,US,19.7297,-155.09,71.8,89,75,3.44,broken clouds
91,San Cristobal,VE,7.7669,-72.225,64.09,93,62,3.06,broken clouds
92,Hwange,ZW,-18.3693,26.5019,75.76,74,98,2.28,overcast clouds
93,Puerto Ayora,EC,-0.7393,-90.3518,74.55,93,46,1.99,scattered clouds
94,Port Alfred,ZA,-33.5906,26.891,70.18,84,91,13.27,light rain
95,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,81,20,6.91,few clouds
96,Roebourne,AU,-20.7833,117.1333,89.85,63,67,17.83,broken clouds
97,Antofagasta,CL,-23.65,-70.4,63.68,71,4,3.94,clear sky
98,Turbat,PK,26.0023,63.044,75.88,14,0,6.22,clear sky
99,Tuktoyaktuk,CA,69.4541,-133.0374,-23.64,93,52,11.14,broken clouds
100,Belmonte,BR,-15.8631,-38.8828,79.3,87,100,5.86,overcast clouds
101,Ambon,ID,-3.6954,128.1814,87.94,62,40,5.75,scattered clouds
102,Kenai,US,60.5544,-151.2583,24.85,97,100,12.66,overcast clouds
103,Kahului,US,20.8947,-156.47,73.85,85,40,9.22,scattered clouds
104,Mahebourg,MU,-20.4081,57.7,83.25,82,89,19.89,light rain
105,Tuatapere,NZ,-46.1333,167.6833,55.81,64,26,7.29,scattered clouds
106,Rabo De Peixe,PT,37.8,-25.5833,58.28,88,20,10.36,few clouds
107,Blairmore,CA,49.6,-114.4353,33.53,87,60,12.24,broken clouds
108,Hobart,AU,-42.8794,147.3294,69.26,65,75,9.22,broken clouds
109,Bredasdorp,ZA,-34.5322,20.0403,71.28,61,52,22.41,broken clouds
110,Bonavista,CA,48.6499,-53.1147,30.11,95,100,23.82,snow
111,Coihaique,CL,-45.5752,-72.0662,51.75,82,0,4.61,clear sky
112,Okhotsk,RU,59.3833,143.3,4.24,73,100,13.0,overcast clouds
113,Pacific Grove,US,36.6177,-121.9166,51.62,58,0,1.01,clear sky
114,Acajutla,SV,13.5928,-89.8275,78.24,64,0,6.26,clear sky
115,Ternate,ID,0.8,127.4,83.48,76,72,7.38,moderate rain
116,Sibolga,ID,1.7427,98.7792,81.57,80,99,3.71,overcast clouds
117,Diamantino,BR,-14.4086,-56.4461,71.24,93,62,2.93,broken clouds
118,Skowhegan,US,44.7651,-69.7192,14.85,91,97,3.87,overcast clouds
119,Santander,ES,43.4647,-3.8044,51.46,62,100,10.0,overcast clouds
120,Pithora,IN,21.2667,82.5167,76.08,15,5,2.3,clear sky
121,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,83,100,10.07,overcast clouds
122,Avera,US,33.194,-82.5271,44.11,75,100,13.18,overcast clouds
123,Aichach,DE,48.4576,11.1341,34.95,93,20,3.44,few clouds
124,Carnarvon,AU,-24.8667,113.6333,92.59,48,52,15.86,broken clouds
125,East London,ZA,-33.0153,27.9116,68.86,90,95,15.39,moderate rain
126,Olesnica,PL,51.2134,17.3899,39.54,80,100,17.13,overcast clouds
127,Caluquembe,AO,-13.7833,14.6833,63.23,62,100,2.71,overcast clouds
128,Qaanaaq,GL,77.484,-69.3632,1.0,73,100,6.33,overcast clouds
129,Ponta Do Sol,PT,32.6667,-17.1,63.23,64,7,5.97,clear sky
130,Salalah,OM,17.0151,54.0924,78.89,57,20,6.91,few clouds
131,Cabo San Lucas,MX,22.8909,-109.9124,62.94,70,17,3.4,few clouds
132,Fare,PF,-16.7,-151.0167,81.23,72,7,14.45,light rain
133,Arraial Do Cabo,BR,-22.9661,-42.0278,75.47,89,86,20.38,overcast clouds
134,Ugoofaaru,MV,5.6667,73.0,81.52,67,46,8.88,scattered clouds
135,Porto-Vecchio,FR,41.591,9.2795,49.66,87,75,6.91,broken clouds
136,Oussouye,SN,12.485,-16.5469,69.67,34,0,6.24,clear sky
137,Paris,FR,48.8534,2.3488,39.15,92,0,6.91,clear sky
138,Saskylakh,RU,71.9167,114.0833,-12.14,99,99,4.92,overcast clouds
139,Isangel,VU,-19.55,169.2667,78.26,88,100,10.07,overcast clouds
140,Walvis Bay,NA,-22.9575,14.5053,68.09,79,28,4.88,scattered clouds
